CensusTract,County,DI_ID,FoodProducing,Latitude,Longitude,ObjectID,State,Address,GardenName,Plots,Organization,MAR_ID,CONTACT,PHONE,EMAIL,CONTACT2,WEB_URL
N/A,N/A,DC27,N/A,38.8996889,-77.05100811,27,DC,H ST BETWEEN 23RD ST AND 24TH ST,GroW Garden (GW University),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC28,N/A,38.95250357,-77.03132866,28,DC,1340 HAMILTON STREET NW,Hamilton Garden,8,DPR,255042,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC29,N/A,38.91431829,-77.0066738,29,DC,1743 LINCOLN ROAD NE,Harry Thomas Gardens,16,DPR,296786,N/A,N/A,harrythomasgardengroup@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC30,N/A,38.88463381,-76.97992031,30,DC,"BETWEEN 17TH STREET SE, 18TH STREET SE, D STREET SE, AND C STREET SE",Hill East Community Garden,36,N/A,N/A,N/A,544-6548,board@hilleastgarden.org,N/A,http://hilleastgarden.org/Hill_East_Community_Garden/home.html
N/A,N/A,DC31,N/A,38.85791265,-76.96325681,31,DC,3100 DENVER STREET SE,Hillcrest Garden,14,DPR,296174,N/A,N/A,hillcrestgardencenter@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC32,N/A,38.89254014,-76.99872728,32,DC,6TH STRET NE BETWEEN C STREET NE AND CONSTITUTION AVENUE NE,Hilton Garden,N/A,N/A,304133,Kendall LePoer,546-6058,kendall.lepoer@verizon.net,N/A,http://fieldtoforknetwork.org/community-gardens/hilton/
N/A,N/A,DC33,N/A,38.92040695,-77.02494489,33,DC,2251 SHERMAN AVENUE NW,Howard University Community Garden (Halo Green),N/A,N/A,284325,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC34,N/A,38.91993175,-77.04447098,34,DC,19TH STREET NW AND COLUMBIA ROAD NW,Kalorama Garden,19,DPR,903267,Carole Grunberg,N/A,kaloramacommunitygarden@gmail.com,Chris Otten,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC35,N/A,38.89546848,-76.97554406,35,DC,ON 20TH ST NE BETWEEN E STREET NE AND D STREET NE,Kingman Park-Rosdale Community Garden,N/A,N/A,N/A,Mandie Yanasak,N/A,myanasak@gmail.com,N/A,http://kprgarden.org/
N/A,N/A,DC36,N/A,38.88640345,-76.98434993,36,DC,KINGS COURT SE AND 15TH STREET SE,King's Court Community Garden,N/A,N/A,913460,Pat Taylor,543-3605,dc.greenthumb@verizon.net,N/A,http://www.kingscourtgarden.org/
N/A,N/A,DC37,N/A,38.92557934,-76.97184419,37,DC,FRANKLIN STREET NE AND MILLS AVENUE NE,Langdon Youth & Community Garden,20,DPR,903267,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC38,N/A,38.89843664,-76.93292649,38,DC,4801 NANNIE HELEN BURROUGHS AVENUE NE,Lederer Youth Garden,40,DPR,295153,Carl Rollins,202 321-6206,N/A,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC39,N/A,38.91790346,-77.0166646,39,DC,ELM STREET NW AND 3RD STREET NW,Ledroit Gardens,56,DPR,906248,N/A,N/A,ledroit.com.garden@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC40,N/A,38.89510839,-76.92991405,40,DC,400 50TH STREET NE,Lincoln Heights,N/A,Green Scheme,28532,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC41,N/A,38.89550257,-76.99096833,41,DC,E STREET NE AND 12TH STREET NE,Lovejoy Community Garden,18,DPR,907141,N/A,N/A,lovejoygarden@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC42,N/A,38.95291841,-77.0064511,42,DC,100 GALLATIN STREET NE,Mamie D. Lee Garden,N/A,NPS,294470,N/A,301-422-7983,MamieDLeeGarden@gmail.com,N/A,http://mamiedleegarden.blogspot.com/
N/A,N/A,DC43,N/A,38.93940473,-77.06214223,43,DC,SEDGWICK STREET NW AND CONNECTICUT AVENUE NW,Melvin Hazen Garden,N/A,NPS,904847,Karin Adams,244-3140,Melvin.Hazen.Garden@verizon.net,N/A,https://sites.google.com/site/melvinhazengarden/
N/A,N/A,DC44,N/A,38.92166747,-76.9809989,44,DC,17TH STREET NE AND MONTANA AVENUE NE,Montana Garden,N/A,N/A,906069,N/A,497-7790 or 269-1622,N/A,N/A,http://dcgardens.com/community-gardens/
N/A,N/A,DC45,N/A,38.83982985,-76.98850537,45,DC,MISSISSIPPI AVENUE SE AND 13TH STREET SE,Mother Peace Garden,N/A,DPR,904393,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC46,N/A,38.87810339,-76.99560002,46,DC,8TH STREET SE AND VIRGINIA AVENUE SE,National Community church (11th St Bridge Park Plot),N/A,N/A,904306,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC47,N/A,38.93527601,-77.07599457,47,DC,NEWARK STREET NW AND 39TH STREET NW,Newark Street Community Garden,220,DPR,911391,Linda Berry,N/A,Nyacklb2@aol.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC48,N/A,38.92581261,-76.99132403,48,DC,10TH STREET NE AND FRANKLIN STREET NE,Noyes Gardens,7,DPR,901346,N/A,N/A,friendsofnoyespark@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC49,N/A,38.92455506,-77.10457413,49,DC,5200 SHERIER PLACE NW,Palisades Garden,20,DPR,268352,N/A,N/A,dcbeehive@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC50,N/A,38.96303001,-77.02528646,50,DC,8TH STREET NW AND PEABODY STREET NW,Peabody Garden,N/A,NPS,901763,William Vest,722-5270,N/A,N/A,http://dcgardens.com/community-gardens/
N/A,N/A,DC51,N/A,38.93812909,-77.02789382,51,DC,"ALLEY LOT BETWEEN QUINCY ST NW, KANSAS AVE NW, RANDOLPH ST NW, AND 10TH ST NW",Petworth 10th Quincy Kansas Community Garden,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
N/A,N/A,DC52,N/A,38.8787809,-76.99220183,52,DC,911 11TH STREET SE,Pomegranate Alley Community Garden,N/A,N/A,82095,Mark Holler,202-276-9430,mark@ginkgogardens.com,Karine Bouis-Towe,http://dcgardens.com/community-gardens/
N/A,N/A,DC53,N/A,38.9667148,-77.05361741,53,DC,OREGON AVENUE NW AND NORTHAMPTON STREET NW,Rock Creek Garden,N/A,NPS,904431,Nancy Oswald,882-9527 or 583-4740,nmoswald@yahoo.com,N/A,http://dcgardens.com/community-gardens/
N/A,N/A,DC54,N/A,38.88597484,-76.97704736,54,DC,19TH STREET SE AND BURKE STREET SE,RockStAr Garden,N/A,N/A,902645,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC55,N/A,38.84801843,-76.97088509,55,DC,23RD STREET SE AND SAVANNAH STREET SE,Shipley Community Garden,N/A,N/A,903118,Carolyn Bennett,N/A,N/A,Joan Trollinger,https://communitygarden.org/find-a-garden/gardens/shipley-community-gardens/
N/A,N/A,DC56,N/A,38.87804673,-77.01278688,56,DC,K STREET SW AND DELAWARE AVENUE SW,Southwest Garden,32,DPR,903176,N/A,N/A,swgardensdc@gmail.com,N/A,http://swgardens.org/
N/A,N/A,DC57,N/A,38.93635643,-76.97710614,57,DC,1800 PERRY STREET NE,Taft Field Garden,12,DPR,294529,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC58,N/A,38.96888669,-77.01805168,58,DC,300 VAN BUREN STREET NW,Takoma Garden,11,DPR,296168,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC59,N/A,38.9241676,-76.95778988,59,DC,3201 FORT LINCOLN DRIVE NE,Theodore Hagans Garden,10,DPR,295140,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC60,N/A,38.93940566,-76.99243598,60,DC,1100 MICHIGAN AVENUE NE,Turkey Thicket Gardens,23,DPR,74630,N/A,N/A,turkeythicketgardeners@gmail.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC61,N/A,38.94080636,-77.03272766,61,DC,14TH STREET NW AND TAYLOR STREET NW,Twin Oaks Community Garden,40,DPR,902177,Kelly Melsted,N/A,kelly.melsted@dc.gov,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC62,N/A,38.86427327,-76.98825945,62,DC,1225 W STREET SE,Union Temple Baptist Church Garden (11th St Bridge Park Plot),N/A,N/A,70732,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC63,N/A,38.94268247,-77.0315007,63,DC,14TH STREET NW AND UPSHUR STREET NW,Upshur Garden,40,DPR,902178,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC64,N/A,38.88344417,-76.98318971,64,DC,15TH 1/2 STREET SE,Victory Gardens Farm,N/A,Victory Gardens,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC65,N/A,38.87750125,-76.99355049,65,DC,9TH STREET SE AND L STREET SE,Virginia Ave Community Garden,80,DPR,902783,Jennifer Lancaster,202-468-1816,Commgarden@yahoo.com,N/A,http://www.capitolriverfront.org/go/virginia-ave-park
N/A,N/A,DC66,N/A,38.9303784,-77.01715445,66,DC,KENYON STREET NW AND IRVING STREET NW,Wangari Gardens,N/A,N/A,904613,N/A,N/A,N/A,N/A,N/A
N/A,N/A,DC67,N/A,38.90808813,-77.05328641,67,DC,25TH STREET NW AND N STREET NW,West End Garden,20,DPR,905564,Kevin Platte,202-986-0469,kevinplattewdc@yahoo.com,N/A,http://dpr.dc.gov/page/dpr-community-gardens
N/A,N/A,DC68,N/A,38.91800595,-77.07820073,68,DC,40TH STREET NW AND W STREET NW,Whitehaven Garden,N/A,NPS,901919,Matt Riley,202-333-6224 only after 12 noon,theriley55@hotmail.com,Eddie Landrum,http://dcgardens.com/community-gardens/
